value,name,poly_degree
360753943.9199773,intercept,3
0.0,coef_0,3
-487525594.3785658,coef_1,3
-1026638.5327037374,coef_2,3
-65118236.372601286,coef_3,3
2604003.638524249,coef_4,3
-546.705875556916,coef_5,3
182640588.06624344,coef_6,3
-1065487.9038987486,coef_7,3
-898.4654373470694,coef_8,3
1.100365936756134,coef_9,3
